,name,description,category
15,"Robert Mugabe Resigns As President Of Zimbabwe, As People Weep With Joy","Thousands have poured into the streets of Zimbabwe’s capital to celebrate after Robert Mugabe finally resigned as president. Parliament’s speaker Jacob Mudenda said the 93-year-old resigned by letter on Tuesday, ending his 37 years in office, having ...",World
11,How did North Korea get its nuclear weapons?,"As tensions between America and North Korea simmer, politicians around the world have stepped into condemn Kim Jong-un’s threats of nuclear war. “The North Korean regime is the cause of this problem and they must fix it,” the UK foreign secretary ...",World
41,Taxi smashes into central barrier outside Drake Circus - updates,"A car and taxi crashed on North Hill at the start of evening rush hour. Eyewitnesses reported that one of the vehicles ended up smashing through the central barrier, leaving one lane closed heading up the hill outside Drake Circus. Traffic is very slow in ...",World
1,Argentina missing submarine: Concern grows after two false alarms,Argentina's navy says it will take advantage of improved weather conditions to further step up its search for a submarine that vanished last Wednesday in the Atlantic Ocean. Strong winds and high waves have hampered the search for the ARA San Juan and its ...,World
16,"Mugabe - Zimbabwe's liberator and, for many, its oppressor","HARARE (Reuters) - When he came to power, Zimbabwe's Robert Mugabe was feted as an African liberation hero in a nation that had endured nearly a century of white colonial rule. Nearly four decades after the country's independence from Britain in 1980, he ...",World
19,Figure known as 'Crocodile' set to replace Zimbabwe's Mugabe,"JOHANNESBURG - Emmerson Mnangagwa, elected as the new leader of Zimbabwe's ruling political party and now poised to take over as the country's president within hours, has engineered a remarkable comeback using skills he no doubt learned from his longtime ...",World
8,The Latest: Britain says Mugabe exit forges 'new path',"HARARE, Zimbabwe (AP) -- The Latest on Zimbabwe's political turmoil (all times local): 6:40 p.m. British Prime Minister Theresa May says the resignation of President Robert Mugabe gives Zimbabwe ""an opportunity to forge a new path free of the oppression ...",World
37,Commission for creation of new regions begins sittings as petitioners enter with maps,"Six petitioners are expected to make their case for the creation of new regions, as the Commission of Enquiry set up for this purpose begins a month-long sitting. Buoyed by the New Patriotic Party (NPP) government's campaign promise to create four new ...",World
43,BREAKING: The Queen becomes the world’s oldest living Head of State following Mugabe resignation,"Queen Elizabeth II has become the world’s oldest living Head of State following the resignation of Zimbabwe’s Robert Mugabe. The Queen, who is 91-years-old, can now add a new accolade to her record books, as her longevity makes her the oldest leader ...",World
26,ISIS OVER as president declares terror group FINISHED,"Iranian President Hassan Rouhani said the terror group was finished this morning in an address broadcast live on state TV. A senior commander of Iran's Revolutionary Guards, Major General Qassem Soleimani, had also declared the end of ISIS in a message ...",World
